Feature ID,PMT1 leaf control,PMT1 leaf topped,PMT1 root control,PMT1 root topped,PMT2 leaf control,PMT2 leaf topped,PMT2 root control,PMT2 root topped,PMT3 leaf control,PMT3 leaf topped,PMT3 root control,PMT3 root topped,TN90 leaf control,TN90 leaf topped,TN90 root control,TN90 root topped,Swissprot,,Solyc,,GO ontology (biological process)
NITAB000035.1,0.0755,0.2493,0.0832,0.1373,0.5548,0.7151,1.8913,0.7802,1.7158,1.0577,1.9120,2.6692,0.0680,0.1011,0.0738,0.2065,#N/A,#N/A,#N/A,#N/A,0
NITAB000047.1,0.0000,0.0181,0.9016,0.4249,0.0000,0.0047,0.9155,2.3157,0.0000,0.0000,0.2312,1.7308,0.0000,0.0177,0.5113,0.7260,Organ-specific protein S2,sp|P17772|OSS2_PEA,Organ-specific protein S2 ,Solyc10g009150.3.1,0
NITAB000060.1,2.4355,1.4388,11.3204,20.3282,1.4068,2.1050,19.3124,25.5984,1.9339,2.9648,9.2141,11.5896,3.9423,1.4270,9.0774,23.5409,Luminal-binding protein 5,sp|Q03685|BIP5_TOBAC,TOMBIPGRBC Tomato BiP ,Solyc08g082820.3.1,0
NITAB000140.1,3.3535,1.2116,6.7618,6.1324,0.5631,0.3371,0.9248,0.4770,1.5125,1.9083,3.6141,1.5518,2.1803,1.1382,3.7593,3.9163,#N/A,#N/A,Transcription elongation factor ,Solyc11g005450.2.1,#N/A
NITAB000267.1,0.9928,1.0253,1.4066,3.8281,1.8973,1.9472,2.3031,4.7357,0.5557,0.8798,0.7365,2.2739,0.4964,2.8869,0.8581,3.0930,Protein LURP-one-related 11,sp|Q9LUM1|LOR11_ARATH,LURP-one-like protein ,Solyc08g080750.3.1,0
NITAB000380.1,0.0039,0.0074,3.9043,8.2094,0.0409,0.0033,9.8689,10.0900,0.0074,0.0067,2.8090,4.0087,0.0000,0.0000,2.1148,8.0675,"Glucan endo-1,3-beta-glucosidase 13",sp|Q9FJU9|E1313_ARATH,"Glucan endo-1,3-beta-glucosidase, putative ",Solyc12g040860.2.1,carbohydrate metabolic process [GO:0005975]; cell wall organization [GO:0071555]; defense response [GO:0006952]
NITAB000396.1,1.0777,0.7961,47.0666,29.4584,1.5455,0.9888,18.7888,22.4017,1.2007,0.8574,49.6896,52.6468,1.6223,0.6035,49.6467,43.2789,Expansin-like B1,sp|O23547|EXLB1_ARATH,Expansin-like protein ,Solyc08g077900.3.1,sexual reproduction [GO:0019953]
NITAB000501.1,0.0034,0.0035,3.8507,8.2988,0.0368,0.0056,8.4353,7.7110,0.0500,0.0171,2.1359,5.2666,0.0055,0.0380,2.1992,4.8609,Probable L-gulonolactone oxidase 6,sp|O81032|GGLO6_ARATH,L-gulonolactone oxidase ,Solyc09g005180.3.1,L-ascorbic acid biosynthetic process [GO:0019853]
NITAB000512.1,338.3194,1768.2723,4072.2875,3308.9880,212.5389,163.0659,757.8242,907.4371,302.1698,392.8341,8819.6100,1232.1630,294.8663,341.2034,1188.7187,3940.7896,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB000603.1,1.1433,0.4398,2.0968,5.5357,0.9560,1.2003,1.4713,3.0866,1.4591,2.4502,1.5318,3.8736,1.3044,0.2882,2.4767,5.2542,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB000604.1,15.1008,3.6371,12.4655,7.7625,6.7262,10.8787,10.8275,8.4751,10.9212,21.4632,16.1540,12.0760,23.4616,3.2171,16.7786,8.7948,Heat shock factor protein HSF30,sp|P41152|HSF30_SOLPE,SolycHsfA2,Solyc08g062960.3.1,0
NITAB000712.1,44.0129,46.6043,3.5645,6.2674,52.0108,51.4544,6.3840,9.1195,37.0405,39.7276,2.4586,3.4606,34.3748,59.1460,2.5353,6.9427,"Triose phosphate/phosphate translocator, chloroplastic",sp|P29463|TPT_SOLTU,triose phosphate translocator,Solyc10g008980.3.1,0
NITAB000745.1,4.2944,1.4962,3.0409,2.0348,1.3070,2.4955,3.0037,3.2273,1.8731,4.6100,4.5214,4.0374,5.0234,1.1380,5.9730,6.5085,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB000748.1,1.1330,0.7907,1.4128,1.7859,0.4457,1.3715,1.9535,2.8969,5.1159,2.0430,7.7763,4.3692,0.5373,0.1766,0.6671,0.4891,#N/A,#N/A,RING/FYVE/PHD zinc finger protein ,Solyc09g031580.3.1,#N/A
NITAB000872.1,17.9004,13.4081,39.5165,25.6951,9.3607,7.6743,24.0049,26.8900,13.5351,17.3346,60.1146,47.9482,11.1787,17.8678,43.7643,16.9854,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB000873.1,5863.4134,4221.0999,12686.0954,8489.7048,3232.7269,2225.0560,7773.4644,9038.2035,4350.7852,5656.1200,19481.4433,14639.7343,3728.6379,5687.4049,13748.7849,5783.4052,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB000881.1,1.6665,21.5307,63.7025,35.2060,10.1306,1.5821,14.1448,12.4656,3.3477,2.3863,75.4542,10.3949,7.3461,1.8097,18.4173,41.0266,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB000969.1,15.2754,12.3199,17.4630,9.4257,16.0411,19.2772,10.7126,9.5730,11.4888,23.3224,12.8291,10.8213,12.1941,19.0380,17.7078,13.5303,"Ubiquinol oxidase 1, mitochondrial",sp|Q41224|AOX1_TOBAC,alternative oxidase 1au,Solyc08g075540.4.1,0
